R_version	name	version	date_time	hash	binary_location	status
4.2.2	tidyselect	1.2.0	2023-04-17T16:14:35Z	a7f0e2aaf09cf0bd807f7183ebf194ad	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/tidyselect/1.2.0/a7f0e2aaf09cf0bd807f7183ebf194ad/tidyselect	available
4.2.2	tidyverse	2.0.0	2023-04-17T16:14:36Z	471ae2218a851c171bed008ba993e0dc	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/tidyverse/2.0.0/471ae2218a851c171bed008ba993e0dc/tidyverse	active
4.2.2	timechange	0.2.0	2023-04-17T16:14:36Z	a00d8b3d191bb24077d43b27e1ec49bf	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/timechange/0.2.0/a00d8b3d191bb24077d43b27e1ec49bf/timechange	available
4.2.2	tinytex	0.44	2023-04-17T16:14:36Z	e033bd4e84e1181c743f67efef42ed04	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/tinytex/0.44/e033bd4e84e1181c743f67efef42ed04/tinytex	available
4.2.2	tools	4.2.2	2023-04-17T16:14:37Z	452384157e2a8fa4c5fe76947aaa4444	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/tools/4.2.2/452384157e2a8fa4c5fe76947aaa4444/tools	base
4.2.2	translations	4.2.2	2023-04-17T16:14:39Z	8eeb69d848b2a91adcdbe5011ae4dd46	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/translations/4.2.2/8eeb69d848b2a91adcdbe5011ae4dd46/translations	available
4.2.2	tzdb	0.3.0	2023-04-17T16:14:41Z	3cfb325e98e8468eef083db6ea309541	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/tzdb/0.3.0/3cfb325e98e8468eef083db6ea309541/tzdb	available
4.2.2	urlchecker	1.0.1	2023-04-17T16:14:42Z	f95c8822bfc396e3a0fe4cb1dd746fe2	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/urlchecker/1.0.1/f95c8822bfc396e3a0fe4cb1dd746fe2/urlchecker	available
4.2.2	usethis	2.1.6	2023-04-17T16:14:43Z	4efe8698f937d5e3edad3924e27f5c85	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/usethis/2.1.6/4efe8698f937d5e3edad3924e27f5c85/usethis	active
4.2.2	utf8	1.2.3	2023-04-17T16:14:43Z	ef65d48dc09de41c544cfcf8807c1686	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/utf8/1.2.3/ef65d48dc09de41c544cfcf8807c1686/utf8	available
4.2.2	utils	4.2.2	2023-04-17T16:14:44Z	0e3cc28057000a255f537c40ba53563f	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/utils/4.2.2/0e3cc28057000a255f537c40ba53563f/utils	base
4.2.2	uuid	1.1.0	2023-04-17T16:14:44Z	3607a46e90dabd8a0bd70707249df435	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/uuid/1.1-0/3607a46e90dabd8a0bd70707249df435/uuid	available
4.2.2	vctrs	0.5.2	2023-04-17T16:14:45Z	c97a21f524d45772f3831f9e5c73a0a0	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/vctrs/0.5.2/c97a21f524d45772f3831f9e5c73a0a0/vctrs	available
4.2.2	viridisLite	0.4.1	2023-04-17T16:14:45Z	b780c47c25ef95b7a8be2e4eb2e9a703	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/viridisLite/0.4.1/b780c47c25ef95b7a8be2e4eb2e9a703/viridisLite	available
4.2.2	vroom	1.6.1	2023-04-17T16:14:46Z	feac24732ce60c2d3af23ab35227cc4d	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/vroom/1.6.1/feac24732ce60c2d3af23ab35227cc4d/vroom	available
4.2.2	waldo	0.4.0	2023-04-17T16:14:47Z	dea87f8cf42e03f561fcd71d55a35a96	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/waldo/0.4.0/dea87f8cf42e03f561fcd71d55a35a96/waldo	available
4.2.2	whisker	0.4.1	2023-04-17T16:14:48Z	cf3617c6df6f8ef7765b05bb34a89347	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/whisker/0.4.1/cf3617c6df6f8ef7765b05bb34a89347/whisker	available
4.2.2	withr	2.5.0	2023-04-17T16:14:48Z	4a350eece664ce2e699a1cf19db0b1c6	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/withr/2.5.0/4a350eece664ce2e699a1cf19db0b1c6/withr	available
4.2.2	xfun	0.37	2023-04-17T16:14:49Z	5a7665e82d6460a9916ebc9aa5db38da	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/xfun/0.37/5a7665e82d6460a9916ebc9aa5db38da/xfun	available
4.2.2	xml2	1.3.3	2023-04-17T16:14:49Z	b07d24ce5c3cec21650c9a1062227c19	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/xml2/1.3.3/b07d24ce5c3cec21650c9a1062227c19/xml2	available
4.2.2	xopen	1.0.0	2023-04-17T16:14:49Z	3c7829fee988ad883e1cc5cc6ba81de2	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/xopen/1.0.0/3c7829fee988ad883e1cc5cc6ba81de2/xopen	available
4.2.2	xtable	1.8.4	2023-04-17T16:14:50Z	50522aa674c4416bd78b1f7f85c84fb5	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/xtable/1.8-4/50522aa674c4416bd78b1f7f85c84fb5/xtable	available
4.2.2	yaml	2.3.7	2023-04-17T16:14:50Z	95db3d72efd176558f7954917805a608	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/yaml/2.3.7/95db3d72efd176558f7954917805a608/yaml	available
4.2.2	zeallot	0.1.0	2023-04-17T16:14:51Z	619d4d442d3b8499c7bb66de8c6d08c7	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/zeallot/0.1.0/619d4d442d3b8499c7bb66de8c6d08c7/zeallot	available
4.2.2	zip	2.2.2	2023-04-17T16:14:51Z	669ad8e4f63e9778da53e8bf35fb2fe2	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/zip/2.2.2/669ad8e4f63e9778da53e8bf35fb2fe2/zip	available
4.2.2	zoo	1.8.11	2023-04-17T16:14:52Z	3294409d99c06f5e9b64845ab38cdf86	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/zoo/1.8-11/3294409d99c06f5e9b64845ab38cdf86/zoo	available
